#{"t_start": 1780270106.952209, "env_id": "None"}
r,l,t
148.307828,406,252.027235
148.549854,390,253.006048
148.475062,380,253.526837
148.839628,376,253.944054
140.344145,75,254.03797
158.567429,685,254.980635
140.548427,60,255.06777
148.88499,369,255.585406
148.520047,392,256.639953
148.765336,374,257.150603
158.611194,668,258.081587
149.047075,369,258.624411
159.124011,652,260.128014
140.552774,58,260.179052
158.876649,663,261.14452
148.862191,377,261.585415
140.401329,70,261.651091
148.758336,386,262.151277
149.063402,371,263.101966
149.311358,359,263.580652
158.718419,665,264.516226
140.490168,71,264.601676
140.545223,65,264.647459
